	Arnt	Arnt::Ahr	T
1:10000-10700	0.0012438375	0.0030360562	3.027e-07
1:16225-16269	0.0018423197	0.0033857161	2.94e-08
1:20000-24000	0.0003381276	0.0033889959	5.1e-09
1:65817-65911	0.0018069104	0.0004785147	1.775e-07
1:68223-68286	0.0019726447	0.0007509745	0.0001436629
1:40000-44000	0.000151131	0.0018759739	3e-10
1:19025-19061	0.000125498	5.169e-05	7e-10
1:45653-45691	0.001094979	0.0007330067	1.056e-07
1:408000-408500	0.0013345709	1.50267e-05	1.928e-07
1:408500-416000	0.0013345709	1.50267e-05	1.928e-07
1:409000-410000	0.0013345709	1.50267e-05	1.928e-07
1:410000-412000	0.0013345709	1.50267e-05	1.928e-07
1:413000-415000	0.0013345709	1.50267e-05	1.928e-07
1:416000-418000	0.0013345709	1.50267e-05	1.928e-07
1:417000-427000	0.0013345709	1.50267e-05	1.928e-07
1:419000-421000	0.0013345709	1.50267e-05	1.928e-07
1:422000-423000	0.0013345709	1.50267e-05	1.928e-07
1:424000-426000	0.0013345709	1.50267e-05	1.928e-07
1:427000-428000	0.0013345709	1.50267e-05	1.928e-07
1:518499-519000	0.0019726447	0.0007509745	0.0001436629
1:520900-521000	0.0019726447	0.0007509745	0.0001436629
1:521400-522000	0.0019726447	0.0007509745	0.0001436629
1:518000-523000	0.0019726447	0.0007509745	0.0001436629
